Yıl,İl Kodu,İl Adı,Genel toplam,Genel toplam,Genel toplam,Okuma yazma bilmeyen,Okuma yazma bilmeyen,Okuma yazma bilmeyen,Okuma yazma bilen fakat bir okul bitirmeyen,Okuma yazma bilen fakat bir okul bitirmeyen,Okuma yazma bilen fakat bir okul bitirmeyen,İlkokul,İlkokul,İlkokul,İlköğretim,İlköğretim,İlköğretim,Ortaokul ve dengi meslek,Ortaokul ve dengi meslek,Ortaokul ve dengi meslek,Lise ve dengi meslek,Lise ve dengi meslek,Lise ve dengi meslek,Yüksekokul veya fakülte,Yüksekokul veya fakülte,Yüksekokul veya fakülte,Yüksek lisans,Yüksek lisans,Yüksek lisans,Doktora,Doktora,Doktora,Bilinmeyen,Bilinmeyen,Bilinmeyen
,,,Toplam,Erkek,Kadın,Toplam,Erkek,Kadın,Toplam,Erkek,Kadın,Toplam,Erkek,Kadın,Toplam,Erkek,Kadın,Toplam,Erkek,Kadın,Toplam,Erkek,Kadın,Toplam,Erkek,Kadın,Toplam,Erkek,Kadın,Toplam,Erkek,Kadın,Toplam,Erkek,Kadın
2008,55,  Samsun,1125712,551988,573724,104249,21284,82965,241473,116547,124926,345170,173687,171483,124470,62834,61636,39204,25414,13790,150847,83799,67048,51931,31178,20753,2370,1413,957,983,680,303,65015,35152,29863
2008,56,  Siirt,249793,130022,119771,46675,11168,35507,91864,46696,45168,28337,16878,11459,29292,18883,10409,3993,3076,917,24807,19439,5368,5920,4319,1601,331,256,75,45,27,18,18529,9280,9249
2008,57,  Sinop,186131,91337,94794,21371,5349,16022,37433,18158,19275,62274,30600,31674,20453,10273,10180,6344,4470,1874,21055,12205,8850,8493,5363,3130,235,155,80,55,38,17,8418,4726,3692
2008,58,  Sivas,569841,285416,284425,55852,11266,44586,120523,58672,61851,146549,70638,75911,64447,33133,31314,24116,16466,7650,90625,56393,34232,23992,15615,8377,1014,657,357,455,323,132,42268,22253,20015
2008,59,  Tekirdağ,703213,364159,339054,29090,6502,22588,118950,59054,59896,238749,113467,125282,69931,38196,31735,38894,23345,15549,127100,74962,52138,37188,22463,14725,1931,1236,695,370,260,110,41010,24674,16336
2008,60,  Tokat,562398,278783,283615,61231,14785,46446,121929,60740,61189,171331,81610,89721,63097,32028,31069,19167,13425,5742,71059,43664,27395,21611,14839,6772,918,605,313,270,198,72,31785,16889,14896
2008,61,  Trabzon,686363,338310,348053,61242,7954,53288,138830,63807,75023,176230,88941,87289,73376,37283,36093,29630,19723,9907,126425,73798,52627,40642,25935,14707,1618,1004,614,747,558,189,37623,19307,18316
2008,62,  Tunceli,81133,46942,34191,9271,2210,7061,12520,6465,6055,16702,8886,7816,10191,7051,3140,2801,1909,892,18818,13129,5689,3880,2689,1191,245,186,59,17,12,5,6688,4405,2283
2008,63,  Şanlıurfa,1300395,647373,653022,210589,47944,162645,532730,263847,268883,169298,107332,61966,113023,70020,43003,17981,13266,4715,82228,57927,24301,19316,13661,5655,1206,896,310,344,255,89,153680,72225,81455
2008,64,  Uşak,306976,151525,155451,25904,4601,21303,55240,27466,27774,112234,54188,58046,31016,15762,15254,13896,9549,4347,44292,25042,19250,14044,9046,4998,561,351,210,98,68,30,9691,5452,4239
2008,65,  Van,842111,433207,408904,148973,34842,114131,318282,160853,157429,113123,71143,41980,87152,55781,31371,14045,10377,3668,66160,48487,17673,15672,10975,4697,1216,879,337,463,359,104,77025,39511,37514
2008,66,  Yozgat,437051,217801,219250,43967,9623,34344,98416,48067,50349,126100,61328,64772,48106,24432,23674,14727,10293,4434,54704,34840,19864,12413,8830,3583,632,428,204,100,71,29,37886,19889,17997
2008,67,  Zonguldak,569088,279311,289777,47864,7463,40401,100810,46725,54085,190610,92138,98472,60675,30569,30106,25243,17223,8020,90536,54118,36418,26685,16209,10476,1305,805,500,317,216,101,25043,13845,11198
2008,68,  Aksaray,330180,163130,167050,31010,5223,25787,74141,36477,37664,104329,51931,52398,41979,20927,21052,11220,7680,3540,35194,21608,13586,11064,7282,3782,462,325,137,153,105,48,20628,11572,9056
2008,69,  Bayburt,68215,34946,33269,6045,986,5059,15959,7817,8142,19473,9027,10446,9104,4802,4302,1897,1436,461,9024,6742,2282,2336,1782,554,108,79,29,13,11,2,4256,2264,1992
2008,70,  Karaman,207690,102694,104996,13807,2693,11114,42297,21064,21233,76941,35472,41469,24707,12311,12396,6972,4899,2073,26490,15730,10760,8810,6071,2739,268,179,89,42,33,9,7356,4242,3114
2008,71,  Kırıkkale,256263,128095,128168,19123,2688,16435,47994,22982,25012,67907,28259,39648,27418,14327,13091,16163,11221,4942,48782,31635,17147,11898,8280,3618,640,411,229,162,124,38,16176,8168,8008
2008,72,  Batman,408094,205065,203029,64688,15383,49305,151780,74013,77767,49958,27986,21972,49236,28352,20884,7794,5696,2098,42153,30373,11780,8704,6476,2228,440,317,123,73,59,14,33268,16410,16858
2008,73,  Şırnak,351306,186102,165204,67761,17555,50206,137268,69030,68238,30868,20688,10180,39957,27670,12287,3223,2439,784,31752,26175,5577,6317,4644,1673,571,439,132,59,43,16,33530,17419,16111
2008,74,  Bartın,171588,83327,88261,17763,3709,14054,33019,15279,17740,61625,30165,31460,18644,9217,9427,5216,3668,1548,19182,11759,7423,6714,4276,2438,313,212,101,61,40,21,9051,5002,4049
2008,75,  Ardahan,101526,53213,48313,10827,2261,8566,25184,12573,12611,26292,13828,12464,12452,6932,5520,2911,2161,750,11990,8541,3449,2592,1739,853,169,129,40,21,12,9,9088,5037,4051
2008,76,  Iğdır,161045,83308,77737,24820,5856,18964,50710,26476,24234,23018,13957,9061,17334,9985,7349,3818,2571,1247,18635,11695,6940,4085,2668,1417,253,160,93,32,22,10,18340,9918,8422
